,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
8799,spillage,Fluid or liquid substance that was discharged leaked dripped or running over without control.,'an act of letting a liquid come or fall out of a container; the amount of liquid that comes or falls out',14,22,"When a liquid goes out of a container, it's called pouring. The amount that goes out is the pour.",19,0.85235524
8800,subsidence,A sinking down of a part of the earth's crust generally due to underground excavations.,'the process by which an area of land sinks to a lower level than normal or by which a building sinks into the ground',15,24,When land or a building goes down and is not at the usual level anymore.,15,0.8227725
8801,terminology,The body of specialized words relating to a particular subject.,'the set of technical words or expressions used in a particular subject',10,12,the group of special words people use when they talk about a certain topic,14,0.7932296
8802,tobacco,Leaves of certain varieties of the tobacco plant cultivated and harvested to make cigarettes cigars snuff for smoking in pipes or for chewing.,'the dried leaves of the tobacco plant that are used for making cigarettes smoking in a pipe etc.',23,18,Dried leaves from a plant used to make cigarettes or for smoking in a pipe.,15,0.87088054
8803,transpiration,The loss of water vapour from a plant mainly through the stomata and to a small extent through the cuticle and lenticels.,'the process of water passing out from the surface of a plant or leaf',22,14,Water goes away from the top of a plant or a leaf.,12,0.8421036
8804,vegetation,The plants that inhabit a certain region or environment.,'plants in general especially the plants that are found in a particular area or environment',9,15,"plants, especially the ones found in a certain place or area",11,0.8484956
8805,volcano,A vent in the surface of the Earth through which magma and associated gases and ash erupt.,'a mountain with a large opening at the top through which gases and lava (= hot liquid rock) are forced out into the air or have been in the past',17,30,A big mountain has a large hole on top. Gases and hot rock come out or came out before.,19,0.87232304
8806,whaling,Catching whales to use as food or for their oil etc.,'the activity or business of hunting and killing whales',11,9,the job of finding and hurting big sea animals called whales,11,0.70332897
8807,canyon,A valley especially a long narrow steep valley cut in rock by a river.,'a deep valley with steep sides of rock',14,8,"a big valley with tall, rocky sides",7,0.82404613
8808,pedagogy,Science on education and teaching.,'the study of teaching methods',5,5,learning about how to teach,5,0.6489662
8809,ethanol,A colorless liquid miscible with water used as a reagent and solvent.,'the type of alcohol in alcoholic drinks also used as a fuel or solvent',12,14,"It's a kind of strong drink that grown-ups have, but it can also be used like gas for cars or to clean stuff.",23,0.72048503
8810,photography,The occupation of taking and printing photographs or making movies.,'the art process or job of taking photographs or filming something',10,11,Taking pictures or filming things.,5,0.76733655
8811,polygon,Geometrical figure that is circumscribed by straight lines.,'a flat shape with at least three straight sides and angles and usually five or more',8,16,"A shape with straight sides, like a triangle or a star.",11,0.8011846
8812,thou,The second person singular feminine subject pronoun.,'a word meaning ‘you’ used when talking to only one person who is the subject of the verb',7,18,a word that means 'you' when we talk to one person.,11,0.78999007
8813,jaguar,A carnivorous spotted large cat native to South and Central America.,'a large animal of the cat family that has yellow-brown fur with black rings and spots. Jaguars live in parts of Central and South America.',11,25,A big cat with yellow-brown fur and black rings and spots. Jaguars live in some places in Central and South America.,21,0.9253856
8814,farewell,Any statement of good wish (like good bye) at parting.,'the act of saying goodbye to somebody',10,7,saying goodbye to someone,4,0.77357423
8815,chef,A cook who manages other cooks in an establishment such as a restaurant.,'a person whose job is to cook especially the most senior person in a restaurant hotel etc.',13,17,"A person who makes food, like the main cook in a big place, such as a hotel or restaurant.",19,0.86585087
8816,criminal,A person that has conducted a criminal act.,'a person who commits a crime',8,6,a person who does a bad thing,7,0.75667053
8817,pejorative,A disparaging belittling or derogatory word or expression,'a word or remark that is pejorative expresses disapproval or criticism',8,11,"A word or saying that is not nice shows you don't like something or you're批评ing it. But since 'criticizing' is not in the prioritize word list, let's replace it with 'showing it's bad'. So the final simplified sentence is: A word or saying that is not nice shows you don't like something or you're showing it's bad.",57,0.75548923
